,TITLE,AUTHOR,RATING,REVIEWERS,URL LINKS
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7251682,https://www.goodreads.com/book/show/2767052-the-hunger-games
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2881319,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
3,To Kill a Mockingbird,Harper Lee,4.27,5174551,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
4,Pride and Prejudice,Jane Austen,4.28,3523201,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
5,The Book Thief,Markus Zusak,4.38,2130791,https://www.goodreads.com/book/show/19063.The_Book_Thief
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5642364,https://www.goodreads.com/book/show/41865.Twilight
7,Animal Farm,George Orwell,3.97,3198315,https://www.goodreads.com/book/show/170448.Animal_Farm
8,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,578975,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,120982,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
10,The Fault in Our Stars,John Green,4.17,4225560,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
11,Gone with the Wind,Margaret Mitchell,4.3,1141738,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
12,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1613980,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
13,The Giving Tree,Shel Silverstein,4.37,1004601,https://www.goodreads.com/book/show/370493.The_Giving_Tree
14,Wuthering Heights,Emily Brontë,3.87,1531654,https://www.goodreads.com/book/show/6185.Wuthering_Heights
15,The Picture of Dorian Gray,Oscar Wilde,4.1,1167622,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
16,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2120984,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
17,Jane Eyre,Charlotte Brontë,4.14,1822895,https://www.goodreads.com/book/show/10210.Jane_Eyre
18,Memoirs of a Geisha,Arthur Golden,4.13,1843561,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,503505,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
20,The Perks of Being a Wallflower,Stephen Chbosky,4.21,1470801,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
21,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.48,8330148,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
22,Fahrenheit 451,Ray Bradbury,3.98,1974002,https://www.goodreads.com/book/show/13079982-fahrenheit-451
23,Les Misérables,Victor Hugo,4.19,733504,https://www.goodreads.com/book/show/24280.Les_Mis_rables
24,"Divergent (Divergent, #1)",Veronica Roth,4.17,3369236,https://www.goodreads.com/book/show/13335037-divergent
