,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,374,4.32,7251682,United Kingdom,2003,"Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse Ç¸tranger (2010)   Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Vermont Golden Dome Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)",1,"Young Adult, Fiction, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/2767052-the-hunger-games
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,870,4.5,2881319,United States,1960,None,None,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
3,To Kill a Mockingbird,Harper Lee,336,4.27,5174551,United Kingdom,1813,"Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)",1,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
4,Pride and Prejudice,Jane Austen,279,4.28,3523201,United Kingdom,2005,No Award,0,"Fiction, Historical > Historical Fiction, Literature, ",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
5,The Book Thief,Markus Zusak,552,4.38,2130791,United States,2005,None,None,None,https://www.goodreads.com/book/show/19063.The_Book_Thief
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,498,3.62,5642364,United States,1945,"Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)   West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)",1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/41865.Twilight
7,Animal Farm,George Orwell,141,3.97,3198315,None,1956,None,None,"Classics, Fiction, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/170448.Animal_Farm
8,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,767,4.26,578975,United Kingdom,1956,No Award,1,"Fantasy, Classics, Fiction, ",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,4.6,120982,United States,1955,No Award,1,"Fantasy, FictionClassics",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
10,The Fault in Our Stars,John Green,313,4.17,4225560,United States,2012,"Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)   Teen Buckeye Book Award (2014), Pennsylvania Young Readers' Choice Award for Young Adults (2013), Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), Louisiana Teen Readers' Choice (2015), Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013)",0,"Young Adult, Romance, Fiction, ",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
11,Gone with the Wind,Margaret Mitchell,1037,4.3,1141738,United States,1979,"Pulitzer Prize for Novel (1937), National Book Award for Novel (1936)",0,"Classics, Historical > Historical Fiction, Fiction, ",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
12,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,193,4.22,1613980,None,1979,No Award,1,"Science Fiction, Fiction, Humor, ",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
13,The Giving Tree,Shel Silverstein,64,4.37,1004601,None,1964,No Award,0,"Childrens, Classics, Childrens > Picture Books, ",https://www.goodreads.com/book/show/370493.The_Giving_Tree
14,Wuthering Heights,Emily BrontÇ®,464,3.87,1531654,None,1847,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/6185.Wuthering_Heights
15,The Picture of Dorian Gray,Oscar Wilde,272,4.1,1167622,United Kingdom,1890,No Award,0,"Classics, Fiction, Horror, ",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
16,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,489,3.88,2120984,France,2003,None,None,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
17,Jane Eyre,Charlotte BrontÇ®,532,4.14,1822895,United Kingdom,1847,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/10210.Jane_Eyre
18,Memoirs of a Geisha,Arthur Golden,503,4.13,1843561,Japan,1997,No Award,0,"Fiction, Historical > Historical Fiction, Romance, ",https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
