,url,title,author,num_ratings,avg_rating,minmax_norm_ratings,mean_norm_ratings,num_pages,original_publish_year,series,genres,awards,places
0,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,7251682.0,4.32,6.23,2.4,374.0,2003,1,"Young Adult, Fiction, Science Fiction > Dystopia, ","Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse Ç¸tranger (2010)   Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Vermont Golden Dome Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)",United Kingdom
1,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2881319.0,4.5,7.27,3.44,870.0,1960,None,"Fantasy, Young Adult, Fiction, ",None,United States
2,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,5174551.0,4.27,5.94,2.11,336.0,1813,1,"Classics, Fiction, Historical > Historical Fiction, ","Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)",United Kingdom
3,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,Jane Austen,3523201.0,4.28,5.99,2.17,279.0,2005,0,"Fiction, Historical > Historical Fiction, Literature, ",No Award,United Kingdom
4,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak,2130791.0,4.38,6.57,2.75,552.0,2005,None,None,None,United States
5,https://www.goodreads.com/book/show/41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,5642364.0,3.62,2.16,-1.66,498.0,1945,1,"Fantasy, Young Adult, Romance, ","Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)   West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)",United States
6,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm,George Orwell,3198315.0,3.97,4.19,0.37,141.0,1956,None,"Classics, Fiction, Science Fiction > Dystopia, ",None,None
7,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,578975.0,4.26,5.88,2.05,767.0,1956,1,"Fantasy, Classics, Fiction, ",No Award,United Kingdom
8,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,120982.0,4.6,7.85,4.03,1728.0,1955,1,"Fantasy, FictionClassics",No Award,United States
9,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,John Green,4225560.0,4.17,5.35,1.53,313.0,2012,0,"Young Adult, Romance, Fiction, ","Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)   Teen Buckeye Book Award (2014), Pennsylvania Young Readers' Choice Award for Young Adults (2013), Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), Louisiana Teen Readers' Choice (2015), Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013)",United States
10,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Gone with the Wind,Margaret Mitchell,1141738.0,4.3,6.11,2.28,1037.0,1979,0,"Classics, Historical > Historical Fiction, Fiction, ","Pulitzer Prize for Novel (1937), National Book Award for Novel (1936)",United States
11,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1613980.0,4.22,5.65,1.82,193.0,1979,1,"Science Fiction, Fiction, Humor, ",No Award,None
12,https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,1004601.0,4.37,6.52,2.69,64.0,1964,0,"Childrens, Classics, Childrens > Picture Books, ",No Award,None
13,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights,Emily BrontÇ®,1531654.0,3.87,3.61,-0.21,464.0,1847,0,"Classics, Fiction, Romance, ",No Award,None
14,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,Oscar Wilde,1167622.0,4.1,4.95,1.12,272.0,1890,0,"Classics, Fiction, Horror, ",No Award,United Kingdom
15,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2120984.0,3.88,3.67,-0.16,489.0,2003,None,"Fiction, Mystery, Thriller, ",None,France
16,https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre,Charlotte BrontÇ®,1822895.0,4.14,5.18,1.35,532.0,1847,0,"Classics, Fiction, Romance, ",No Award,United Kingdom
17,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha,Arthur Golden,1843561.0,4.13,5.12,1.3,503.0,1997,0,"Fiction, Historical > Historical Fiction, Romance, ",No Award,Japan
18,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,503505.0,4.06,4.72,0.89,239.0,1871,1,"Classics, Fantasy, Fiction, ",No Award,United States
